seriesuid,coordX,coordY,coordZ,diameter_mm,probability
1.3.6.1.4.1.14519.5.2.1.6279.6001.138080888843357047811238713686,35.50911808,160.2636801,-382.5492249,18.81073314,0.809953411
1.3.6.1.4.1.14519.5.2.1.6279.6001.138080888843357047811238713686,66.41320378,108.1059303,-466.6212158,18.84977865,0.741955249
1.3.6.1.4.1.14519.5.2.1.6279.6001.138080888843357047811238713686,67.0269466,136.0144314,-466.0518188,18.8100804,0.679527061
1.3.6.1.4.1.14519.5.2.1.6279.6001.138080888843357047811238713686,66.6965273,184.189707,-446.6043549,18.86813068,0.672117679
1.3.6.1.4.1.14519.5.2.1.6279.6001.138080888843357047811238713686,-85.63720833,208.595595,-502.5888672,18.8393439,0.575562429
1.3.6.1.4.1.14519.5.2.1.6279.6001.138080888843357047811238713686,94.69640124,168.1379107,-562.4723587,18.87462315,0.427905169
1.3.6.1.4.1.14519.5.2.1.6279.6001.138080888843357047811238713686,54.54510993,143.692811,-594.7552872,18.95023092,0.411346031
1.3.6.1.4.1.14519.5.2.1.6279.6001.138080888843357047811238713686,-49.02925527,155.6430104,-418.3633728,18.95682198,0.391222349
1.3.6.1.4.1.14519.5.2.1.6279.6001.138080888843357047811238713686,-17.24178055,135.7821976,-597.8157806,18.98342243,0.37487973
1.3.6.1.4.1.14519.5.2.1.6279.6001.138080888843357047811238713686,-33.4791517,108.5502927,-418.672821,18.98781783,0.363276153
1.3.6.1.4.1.14519.5.2.1.6279.6001.138080888843357047811238713686,-77.25153922,147.8925726,-530.5665207,18.85336419,0.357617929
1.3.6.1.4.1.14519.5.2.1.6279.6001.138080888843357047811238713686,123.1767603,87.83341432,-594.0384903,18.87345584,0.32139172
1.3.6.1.4.1.14519.5.2.1.6279.6001.250863365157630276148828903732,-81.09530204,-27.94678431,-153.8609314,18.96677179,0.997499536
1.3.6.1.4.1.14519.5.2.1.6279.6001.250863365157630276148828903732,-57.86230695,-88.1320276,-249.8295307,19.07389513,0.995319213
1.3.6.1.4.1.14519.5.2.1.6279.6001.250863365157630276148828903732,94.05256201,75.41314934,-188.6759377,19.01403932,0.994631762
1.3.6.1.4.1.14519.5.2.1.6279.6001.250863365157630276148828903732,-76.83191311,-67.87640757,-184.7272873,19.07607937,0.99094933
1.3.6.1.4.1.14519.5.2.1.6279.6001.250863365157630276148828903732,-81.38986177,83.89386829,-309.6327114,18.98603906,0.990367604
1.3.6.1.4.1.14519.5.2.1.6279.6001.250863365157630276148828903732,-112.7814532,8.151360882,-277.433815,19.08284983,0.989606233
1.3.6.1.4.1.14519.5.2.1.6279.6001.250863365157630276148828903732,-88.74484605,95.94180597,-317.9379272,19.03116123,0.98248172
1.3.6.1.4.1.14519.5.2.1.6279.6001.250863365157630276148828903732,-53.66583379,90.94841237,-124.7034645,19.09182254,0.981898894
1.3.6.1.4.1.14519.5.2.1.6279.6001.250863365157630276148828903732,123.4051778,23.06048352,-300.4390526,19.00564961,0.976909053
1.3.6.1.4.1.14519.5.2.1.6279.6001.250863365157630276148828903732,-57.1021757,-35.60119493,-126.4769363,19.100327,0.966897932
1.3.6.1.4.1.14519.5.2.1.6279.6001.250863365157630276148828903732,-100.667266,51.84049155,-220.6399536,19.04791395,0.963205387
1.3.6.1.4.1.14519.5.2.1.6279.6001.250863365157630276148828903732,-49.72028027,83.94719813,-198.0813789,19.1091879,0.962522113
1.3.6.1.4.1.14519.5.2.1.6279.6001.250863365157630276148828903732,-96.53627467,7.685948685,-144.701252,19.02130221,0.959648627
1.3.6.1.4.1.14519.5.2.1.6279.6001.250863365157630276148828903732,91.09856402,84.02179038,-289.5234108,19.11726552,0.955692112
1.3.6.1.4.1.14519.5.2.1.6279.6001.250863365157630276148828903732,-25.62139225,75.35538741,-216.6370392,19.06539789,0.954482419
1.3.6.1.4.1.14519.5.2.1.6279.6001.250863365157630276148828903732,95.07524351,78.46077147,-185.5760574,19.12991249,0.9438543
1.3.6.1.4.1.14519.5.2.1.6279.6001.250863365157630276148828903732,-45.86290493,51.06128496,-85.36663055,19.03810795,0.94093172
1.3.6.1.4.1.14519.5.2.1.6279.6001.250863365157630276148828903732,-109.2450273,31.33031642,-216.8238068,19.12962743,0.932800367
1.3.6.1.4.1.14519.5.2.1.6279.6001.250863365157630276148828903732,66.47602391,91.23038556,-220.8657455,19.07444354,0.9234067
1.3.6.1.4.1.14519.5.2.1.6279.6001.250863365157630276148828903732,-113.6584408,11.32629678,-280.7109547,19.23631212,0.911373627
1.3.6.1.4.1.14519.5.2.1.6279.6001.250863365157630276148828903732,61.90179531,-12.32114154,-148.9786148,19.17505627,0.895746114
1.3.6.1.4.1.14519.5.2.1.6279.6001.250863365157630276148828903732,-93.37334595,99.2795992,-213.6412811,19.24357502,0.889500403
1.3.6.1.4.1.14519.5.2.1.6279.6001.250863365157630276148828903732,-77.03332667,-40.68522898,-228.6811447,19.14525718,0.851317739
1.3.6.1.4.1.14519.5.2.1.6279.6001.250863365157630276148828903732,-128.5045004,42.60290023,-241.6389275,19.2432034,0.845441484
1.3.6.1.4.1.14519.5.2.1.6279.6001.250863365157630276148828903732,123.5513786,-8.368317092,-288.8940239,19.18398886,0.826286689
1.3.6.1.4.1.14519.5.2.1.6279.6001.250863365157630276148828903732,-94.00238313,87.47588959,-282.0094109,19.2462311,0.799463537
1.3.6.1.4.1.14519.5.2.1.6279.6001.250863365157630276148828903732,-92.56488181,51.66639469,-144.8314285,19.15223085,0.797872779
1.3.6.1.4.1.14519.5.2.1.6279.6001.250863365157630276148828903732,59.45852974,-8.958276623,-148.7961197,19.24650485,0.782982016
1.3.6.1.4.1.14519.5.2.1.6279.6001.250863365157630276148828903732,-93.88727932,90.7937819,-285.0967789,19.18641714,0.75018892
1.3.6.1.4.1.14519.5.2.1.6279.6001.250863365157630276148828903732,59.08107846,-68.7536559,-177.324028,19.2460672,0.743018772
1.3.6.1.4.1.14519.5.2.1.6279.6001.250863365157630276148828903732,-40.95627008,-45.06398243,-189.7297287,19.15065727,0.723043884
1.3.6.1.4.1.14519.5.2.1.6279.6001.250863365157630276148828903732,-64.96697991,87.71325228,-305.1032448,19.24592897,0.701767927
1.3.6.1.4.1.14519.5.2.1.6279.6001.250863365157630276148828903732,-109.7453313,11.65091067,-225.1395988,19.18426129,0.684694673
1.3.6.1.4.1.14519.5.2.1.6279.6001.250863365157630276148828903732,-45.17307868,87.86849106,-301.0814476,19.24795393,0.681847262
1.3.6.1.4.1.14519.5.2.1.6279.6001.250863365157630276148828903732,141.9401212,39.22962136,-301.9286823,19.14954081,0.681184669
1.3.6.1.4.1.14519.5.2.1.6279.6001.250863365157630276148828903732,-41.22155778,-73.04476708,-205.2278137,19.24192326,0.645609456
1.3.6.1.4.1.14519.5.2.1.6279.6001.250863365157630276148828903732,-125.8619359,39.174959,-237.7142906,19.1759182,0.634281728
1.3.6.1.4.1.14519.5.2.1.6279.6001.250863365157630276148828903732,138.6905641,35.04509744,-293.3414078,19.19789989,0.633960035
1.3.6.1.4.1.14519.5.2.1.6279.6001.250863365157630276148828903732,-101.2662635,-44.42009922,-225.2903748,19.14647582,0.620079625
1.3.6.1.4.1.14519.5.2.1.6279.6001.250863365157630276148828903732,-90.02416834,51.2775011,-141.7523193,19.19539378,0.580535625
1.3.6.1.4.1.14519.5.2.1.6279.6001.250863365157630276148828903732,143.034643,-20.60054832,-297.2470093,19.11287818,0.572516328
1.3.6.1.4.1.14519.5.2.1.6279.6001.250863365157630276148828903732,106.2398062,-44.34672362,-197.0347404,19.20689779,0.563723469
1.3.6.1.4.1.14519.5.2.1.6279.6001.250863365157630276148828903732,58.61959141,90.79155138,-229.5038986,19.14094413,0.562300008
1.3.6.1.4.1.14519.5.2.1.6279.6001.250863365157630276148828903732,-65.3309032,-60.60366306,-261.2759972,19.20019861,0.550843439
1.3.6.1.4.1.14519.5.2.1.6279.6001.250863365157630276148828903732,62.43071955,-72.85221768,-193.7100792,19.11276724,0.541726043
1.3.6.1.4.1.14519.5.2.1.6279.6001.250863365157630276148828903732,-77.0376284,35.28385058,-273.6000824,19.21985279,0.506297066
1.3.6.1.4.1.14519.5.2.1.6279.6001.250863365157630276148828903732,-68.91564748,74.70106129,-265.0850582,19.15376917,0.503375939
1.3.6.1.4.1.14519.5.2.1.6279.6001.250863365157630276148828903732,-113.1243458,-32.47509885,-228.8596725,19.22003752,0.499582729
1.3.6.1.4.1.14519.5.2.1.6279.6001.250863365157630276148828903732,-69.04045552,-87.95286136,-245.7224846,19.1306089,0.480044902
1.3.6.1.4.1.14519.5.2.1.6279.6001.250863365157630276148828903732,-65.0045802,-52.80554287,-253.1254578,19.23950989,0.472661516
1.3.6.1.4.1.14519.5.2.1.6279.6001.250863365157630276148828903732,-101.1834444,47.44679068,-296.8900776,19.17062068,0.460559036
1.3.6.1.4.1.14519.5.2.1.6279.6001.250863365157630276148828903732,61.84658256,79.81383146,-153.0494308,19.23835298,0.455366192
1.3.6.1.4.1.14519.5.2.1.6279.6001.250863365157630276148828903732,111.0011961,-36.53594447,-281.5234089,19.14508615,0.455179047
1.3.6.1.4.1.14519.5.2.1.6279.6001.250863365157630276148828903732,-29.90781064,39.69530875,-209.903698,19.25943706,0.45352981
1.3.6.1.4.1.14519.5.2.1.6279.6001.250863365157630276148828903732,45.78100483,47.94668912,-213.2660675,19.18587137,0.452097886
1.3.6.1.4.1.14519.5.2.1.6279.6001.250863365157630276148828903732,59.24677465,-72.8554476,-196.8063927,19.25690226,0.449950859
1.3.6.1.4.1.14519.5.2.1.6279.6001.250863365157630276148828903732,-132.8418225,71.3258126,-308.9301872,19.15183616,0.435158147
1.3.6.1.4.1.14519.5.2.1.6279.6001.250863365157630276148828903732,-44.5673896,-12.59378709,-89.12881851,19.28103826,0.416108068
1.3.6.1.4.1.14519.5.2.1.6279.6001.250863365157630276148828903732,-121.5271774,55.26397173,-297.5589943,19.18813305,0.414750418
1.3.6.1.4.1.14519.5.2.1.6279.6001.250863365157630276148828903732,-41.12710806,95.1107469,-317.0124531,19.31334442,0.410263493
1.3.6.1.4.1.14519.5.2.1.6279.6001.250863365157630276148828903732,106.9777046,-44.9009368,-220.9995461,19.40630152,0.396850312
1.3.6.1.4.1.14519.5.2.1.6279.6001.250863365157630276148828903732,130.9113599,-25.184177,-281.5110207,19.27352471,0.395213607
